-9, -12, -13, -14, -13, -9, -6, -2, 0, 3, 6, 10, 11, 10, 8, 6, 4, 1, -8, -11, -13, -14, -13, -10, -6, -3, 0, 3, 7, 8, 10, 10, 8, 5, 3, 0, -1989, 153, 272, 15, 141, -75, 1996, 1667398754709
-9, -12, -14, -14, -12, -8, -5, -2, 0, 3, 7, 9, 11, 10, 9, 7, 4, 1, -6, -9, -12, -13, -12, -10, -6, -4, 0, 3, 6, 8, 10, 10, 8, 6, 3, 0, -1914, -389, 856, 327, 29, -55, 1996, 1667398754922
-8, -11, -13, -15, -14, -11, -8, -5, -2, 1, 4, 8, 10, 10, 9, 6, 4, 1, -7, -10, -13, -13, -13, -9, -6, -3, 0, 4, 7, 9, 10, 11, 9, 6, 4, 0, -1877, -220, 352, 482, 81, -109, 1996, 1667398755098
-10, -13, -16, -17, -16, -12, -9, -5, -1, 2, 6, 9, 11, 11, 9, 7, 4, 1, -9, -12, -14, -16, -15, -11, -7, -4, 0, 4, 8, 10, 11, 11, 9, 6, 3, 1, -2056, -89, 224, 652, 18, -37, 1996, 1667398755309
-12, -16, -18, -19, -16, -12, -7, -3, 0, 4, 8, 11, 13, 12, 10, 7, 4, 2, -8, -12, -15, -17, -16, -13, -8, -5, -1, 3, 7, 9, 10, 11, 9, 6, 3, 0, -2053, -119, 26, 554, 156, -68, 1996, 1667398755541
-6, -9, -11, -13, -12, -10, -7, -4, -1, 2, 6, 10, 13, 13, 11, 8, 5, 2, -8, -11, -14, -15, -14, -11, -8, -5, -1, 2, 7, 9, 12, 12, 9, 6, 3, 0, -1797, 967, 92, 313, 17, -69, 1996, 1667398755729
-5, -8, -11, -12, -11, -8, -5, -3, 0, 3, 7, 10, 13, 12, 10, 7, 4, 2, -7, -9, -12, -14, -13, -11, -8, -5, -2, 1, 5, 8, 10, 10, 8, 5, 3, 0, -1804, 641, 167, 216, -7, -54, 1996, 1667398755909
-6, -10, -12, -14, -13, -9, -6, -3, 1, 4, 8, 12, 14, 13, 10, 7, 5, 2, -10, -14, -16, -17, -16, -13, -9, -5, -1, 2, 7, 9, 11, 10, 8, 5, 3, 0, -1862, 825, 217, 158, 3, -105, 1996, 1667398756118
-9, -13, -16, -17, -15, -10, -6, -2, 2, 6, 10, 14, 15, 13, 11, 8, 5, 2, -13, -17, -20, -21, -19, -15, -11, -6, -2, 2, 7, 10, 11, 10, 8, 6, 3, 0, -2003, 595, 672, 279, 247, -163, 1996, 1667398756302
-9, -11, -13, -15, -13, -10, -7, -4, 0, 3, 8, 11, 13, 11, 9, 7, 4, 2, -10, -13, -15, -16, -16, -13, -9, -5, -1, 2, 6, 9, 10, 9, 8, 5, 3, 0, -2130, -226, 471, 452, 110, -244, 1996, 1667398756507
