-30, -31, -32, -34, -33, -32, -26, -22, -12, -4, 0, 3, 9, 10, 13, 14, 15, 16, -34, -34, -31, -28, -26, -25, -21, -16, -10, -1, 5, 10, 13, 17, 19, 21, 21, 21, -14416, 88, 7040, 0, 0, 0, 1843, 1663927276636
-26, -24, -27, -30, -29, -28, -23, -21, -15, -8, -3, -1, 5, 8, 10, 12, 13, 15, -29, -27, -25, -23, -23, -22, -18, -15, -9, -2, 4, 9, 12, 16, 17, 19, 19, 20, -14344, 120, 7232, 0, 0, 0, 1843, 1663927276783
-32, -25, -25, -25, -22, -20, -17, -16, -10, -2, 1, 5, 10, 10, 12, 12, 11, 12, -31, -25, -23, -18, -18, -18, -17, -15, -11, -6, 0, 4, 9, 13, 16, 17, 17, 17, -14728, 1584, 4032, 0, 0, 0, 1843, 1663927276998
-31, -28, -28, -24, -21, -21, -16, -14, -9, -1, 4, 8, 14, 16, 18, 18, 17, 17, -39, -37, -32, -27, -23, -22, -19, -18, -14, -8, -3, 3, 8, 13, 16, 19, 21, 21, -14656, 1512, 4144, 0, 0, 0, 1843, 1663927277270
-37, -33, -30, -27, -27, -27, -21, -18, -10, -2, 2, 5, 12, 16, 20, 22, 24, 23, -31, -31, -27, -24, -24, -26, -23, -21, -15, -8, -3, 1, 5, 12, 16, 21, 24, 26, -13528, 4776, 10440, 0, 0, 0, 1843, 1663927277383
-29, -23, -25, -28, -26, -22, -17, -14, -8, -3, -2, -1, 4, 6, 10, 12, 15, 18, -28, -25, -24, -22, -22, -21, -15, -12, -7, -2, 2, 5, 7, 11, 12, 15, 17, 19, -13752, 4992, 10560, 0, 0, 0, 1843, 1663927277596
-26, -30, -35, -38, -37, -32, -24, -20, -15, -11, -8, -7, 0, 3, 8, 12, 16, 20, -32, -35, -36, -33, -29, -24, -15, -10, -4, 2, 6, 8, 11, 16, 19, 22, 24, 24, -14984, -4728, 6528, 0, 0, 0, 1843, 1663927277778
-32, -32, -34, -35, -34, -34, -32, -30, -25, -17, -12, -6, 2, 8, 14, 18, 21, 23, -36, -36, -34, -30, -27, -25, -20, -17, -12, -4, 2, 7, 11, 17, 20, 25, 26, 26, -15472, -4752, 6736, 0, 0, 0, 1843, 1663927278010
-21, -16, -18, -21, -20, -19, -16, -16, -12, -8, -4, -2, 4, 7, 11, 13, 15, 16, -29, -25, -23, -20, -20, -18, -14, -12, -9, -4, 0, 3, 6, 11, 13, 16, 16, 17, -13632, 2288, 5040, 0, 0, 0, 1843, 1663927278199
-26, -23, -23, -22, -21, -20, -16, -13, -7, 0, 4, 7, 15, 17, 19, 19, 19, 19, -42, -39, -34, -29, -27, -26, -22, -19, -14, -9, -3, 1, 5, 10, 14, 17, 19, 21, -13688, 2104, 5096, 0, 0, 0, 1843, 1663927278373
-33, -30, -27, -23, -21, -19, -13, -10, -5, 1, 4, 8, 15, 17, 20, 21, 21, 21, -38, -37, -33, -30, -28, -27, -22, -18, -13, -8, -3, 1, 5, 11, 14, 17, 19, 21, -17848, -2384, 16320, 0, 0, 0, 1843, 1663927278639
-28, -22, -24, -26, -23, -19, -14, -11, -5, 0, 2, 3, 8, 10, 13, 14, 14, 16, -33, -29, -28, -26, -24, -22, -17, -13, -9, -3, 2, 4, 7, 11, 12, 13, 14, 15, -17576, -2400, 16424, 0, 0, 0, 1843, 1663927278798
-34, -35, -35, -36, -35, -31, -24, -19, -13, -6, -2, 1, 8, 11, 14, 14, 13, 13, -43, -43, -38, -34, -29, -26, -18, -11, -4, 3, 8, 12, 15, 18, 19, 18, 16, 14, -16088, -3752, 5128, 0, 0, 0, 1843, 1663927278977
-24, -17, -19, -22, -24, -25, -25, -24, -19, -12, -6, -1, 7, 10, 14, 14, 14, 13, -31, -25, -23, -21, -20, -20, -17, -13, -6, 3, 9, 13, 16, 21, 20, 19, 16, 14, -15760, -3680, 5472, 0, 0, 0, 1843, 1663927279192
-28, -18, -17, -17, -15, -14, -12, -11, -7, -2, 1, 3, 8, 10, 13, 13, 13, 13, -31, -23, -20, -17, -16, -16, -13, -11, -8, -3, 2, 5, 8, 13, 14, 16, 15, 16, -9856, 1704, 2800, 0, 0, 0, 1843, 1663927279398
-29, -22, -21, -19, -18, -15, -12, -10, -6, -1, 2, 5, 10, 13, 16, 17, 17, 18, -46, -39, -32, -26, -22, -20, -15, -12, -9, -4, 0, 4, 7, 11, 13, 16, 18, 19, -9848, 1712, 2592, 0, 0, 0, 1843, 1663927279580
-28, -23, -23, -22, -23, -21, -16, -12, -3, 4, 7, 9, 14, 16, 18, 19, 19, 19, -24, -24, -23, -20, -22, -24, -22, -19, -14, -8, -3, 1, 5, 11, 14, 18, 20, 22, -18432, 5080, 9368, 0, 0, 0, 1843, 1663927279808
-23, -17, -19, -22, -22, -20, -18, -17, -14, -8, -5, -2, 3, 7, 10, 11, 13, 15, -30, -26, -24, -22, -21, -19, -15, -12, -7, 0, 5, 9, 12, 16, 16, 17, 17, 17, -18248, 5152, 9000, 0, 0, 0, 1843, 1663927280087
-42, -35, -32, -32, -28, -25, -18, -16, -13, -10, -7, -5, 1, 4, 9, 11, 15, 16, -40, -35, -30, -26, -21, -18, -11, -7, -3, 2, 6, 9, 12, 16, 18, 20, 20, 20, -18248, 5152, 9000, 0, 0, 0, 1843, 1663927280206
-17, -11, -14, -17, -19, -21, -21, -22, -19, -14, -10, -7, 1, 4, 9, 11, 13, 14, -29, -23, -21, -18, -18, -18, -14, -12, -7, 0, 6, 10, 14, 17, 18, 19, 18, 17, -6312, 248, 3680, 0, 0, 0, 1843, 1663927280386
-28, -20, -18, -18, -16, -15, -12, -11, -6, -1, 2, 5, 10, 11, 15, 16, 16, 16, -32, -25, -21, -18, -17, -18, -16, -15, -13, -8, -3, 0, 4, 8, 12, 15, 17, 20, -20024, 720, 11936, 0, 0, 0, 1843, 1663927280597
-25, -23, -23, -22, -21, -18, -13, -11, -7, -3, 1, 3, 10, 13, 15, 17, 19, 20, -47, -43, -35, -31, -27, -23, -17, -13, -9, -4, 0, 3, 6, 11, 13, 17, 18, 21, -16912, 4824, 4752, 0, 0, 0, 1843, 1663927280781
-26, -22, -23, -24, -21, -17, -12, -10, -5, 0, 2, 4, 9, 11, 14, 16, 16, 17, -28, -26, -25, -23, -23, -22, -17, -14, -11, -5, -1, 1, 4, 8, 11, 14, 16, 18, -16552, 5248, 4792, 0, 0, 0, 1843, 1663927281009
-19, -18, -23, -28, -29, -28, -25, -24, -21, -15, -10, -6, 1, 6, 11, 15, 18, 20, -32, -30, -30, -29, -27, -25, -18, -13, -8, 0, 4, 8, 12, 17, 19, 21, 21, 23, -10632, 304, 3496, 0, 0, 0, 1843, 1663927281201
