-9, -12, -14, -15, -13, -10, -7, -3, 0, 3, 7, 11, 13, 13, 11, 8, 5, 1, -6, -9, -12, -12, -12, -9, -6, -3, 0, 4, 8, 10, 12, 13, 10, 6, 3, 0, -2008, -470, 254, -87, 54, 48, 1995, 1667398861596
-10, -14, -16, -18, -16, -13, -9, -5, -1, 3, 8, 11, 13, 12, 10, 7, 4, 1, -8, -11, -14, -15, -14, -10, -7, -3, 1, 5, 10, 12, 13, 13, 10, 7, 3, 0, -1894, -214, 455, -96, 181, 57, 1995, 1667398861811
-9, -13, -16, -18, -17, -14, -10, -6, -2, 1, 6, 10, 13, 12, 11, 8, 4, 1, -7, -11, -14, -15, -15, -12, -8, -4, 0, 4, 9, 11, 13, 14, 11, 7, 4, 0, -1941, 335, 674, -197, 85, 137, 1995, 1667398861988
-9, -13, -16, -17, -15, -12, -8, -5, -1, 2, 7, 10, 13, 12, 10, 7, 4, 1, -6, -10, -13, -14, -14, -12, -8, -5, -1, 2, 7, 10, 12, 13, 11, 7, 4, 0, -1955, 161, 418, -230, 116, 110, 1995, 1667398862199
-9, -13, -16, -17, -16, -12, -9, -5, -1, 3, 7, 10, 12, 11, 10, 7, 4, 1, -9, -13, -16, -17, -16, -13, -9, -5, -1, 3, 7, 9, 11, 12, 9, 6, 3, 0, -1892, 172, 332, -269, 94, 97, 1995, 1667398862410
-9, -14, -16, -18, -16, -12, -8, -4, 0, 3, 7, 10, 12, 10, 9, 6, 4, 1, -9, -13, -16, -18, -17, -13, -10, -6, -2, 1, 6, 8, 9, 10, 8, 5, 3, 0, -1920, 98, 205, -255, 71, 104, 1995, 1667398862638
-11, -15, -17, -18, -16, -11, -7, -3, 1, 4, 8, 11, 12, 10, 9, 7, 4, 2, -11, -16, -19, -20, -18, -14, -10, -5, -1, 2, 6, 7, 9, 9, 8, 5, 3, 0, -2031, 282, 255, -154, -10, 42, 1995, 1667398862800
-11, -15, -18, -19, -16, -11, -7, -3, 0, 4, 8, 11, 13, 12, 10, 8, 5, 2, -12, -16, -19, -20, -19, -15, -11, -7, -2, 1, 5, 7, 9, 10, 8, 5, 3, 0, -2255, -267, 589, 35, 63, -94, 1995, 1667398863010
-9, -13, -16, -17, -16, -12, -8, -4, 0, 3, 7, 11, 13, 13, 11, 8, 5, 1, -7, -11, -14, -16, -16, -13, -9, -5, -1, 2, 7, 9, 11, 12, 9, 6, 3, 0, -1857, -270, 562, -14, 61, -31, 1995, 1667398863216
-9, -13, -15, -17, -16, -13, -9, -5, -2, 1, 5, 9, 11, 10, 8, 6, 3, 1, -8, -11, -14, -15, -13, -10, -7, -4, 0, 4, 8, 9, 11, 10, 8, 5, 3, 0, -1741, -200, 280, -75, 93, -21, 1995, 1667398863479
-15, -19, -21, -21, -18, -13, -9, -5, -1, 2, 6, 9, 11, 11, 9, 7, 4, 1, -9, -12, -15, -16, -14, -10, -5, -2, 2, 5, 9, 11, 12, 12, 10, 7, 4, 1, -2378, -552, 129, 299, 380, -61, 1995, 1667398863609
-8, -12, -14, -16, -15, -13, -10, -6, -3, 1, 5, 9, 12, 12, 11, 8, 5, 1, -5, -8, -11, -13, -12, -10, -7, -4, 0, 3, 8, 11, 13, 14, 11, 8, 4, 1, -2301, 136, 761, -126, 129, 54, 1995, 1667398863819
-9, -13, -15, -16, -14, -10, -7, -3, 0, 3, 7, 9, 11, 9, 8, 6, 4, 1, -8, -11, -14, -16, -15, -12, -8, -5, -1, 2, 6, 7, 9, 9, 7, 5, 3, 0, -1373, 37, 269, -163, 61, 79, 1995, 1667398863998
