-32, -24, -24, -25, -23, -20, -15, -12, -8, -3, 0, 2, 8, 10, 13, 14, 14, 16, -40, -32, -27, -23, -20, -17, -11, -8, -3, 1, 5, 8, 10, 13, 14, 16, 16, 16, -15080, -184, 5856, 0, 0, 0, 1843, 1663927357038
-29, -22, -22, -25, -23, -21, -17, -14, -11, -5, -1, 1, 7, 10, 13, 14, 14, 15, -39, -31, -27, -24, -21, -18, -12, -8, -3, 2, 6, 9, 11, 14, 15, 17, 16, 16, -15016, 8, 5856, 0, 0, 0, 1843, 1663927357244
-25, -20, -22, -26, -25, -24, -20, -17, -13, -7, -3, -1, 6, 9, 12, 14, 14, 15, -38, -31, -27, -24, -21, -17, -12, -8, -2, 3, 8, 11, 13, 15, 16, 16, 16, 16, -14584, 8, 6752, 0, 0, 0, 1843, 1663927357428
-25, -20, -23, -26, -27, -26, -24, -20, -16, -9, -4, 0, 7, 9, 13, 15, 16, 17, -37, -31, -28, -26, -24, -20, -14, -10, -4, 3, 8, 11, 14, 17, 18, 18, 17, 17, -14576, 400, 6592, 0, 0, 0, 1843, 1663927357658
-23, -19, -23, -27, -27, -26, -23, -21, -16, -8, -4, 0, 7, 9, 13, 15, 16, 17, -36, -32, -28, -26, -24, -21, -16, -11, -5, 3, 8, 11, 15, 18, 18, 19, 18, 18, -14888, 1856, 7344, 0, 0, 0, 1843, 1663927357847
-22, -22, -27, -30, -29, -27, -21, -18, -11, -5, 0, 2, 8, 10, 13, 15, 15, 17, -33, -31, -29, -28, -26, -24, -19, -14, -8, -1, 5, 8, 12, 16, 17, 20, 20, 20, -14728, 1568, 7144, 0, 0, 0, 1843, 1663927358026
-25, -24, -26, -27, -26, -23, -19, -16, -9, 0, 3, 5, 10, 11, 13, 15, 16, 18, -32, -29, -27, -24, -23, -23, -19, -17, -11, -4, 2, 5, 9, 13, 17, 19, 20, 22, -14728, 1568, 7144, 0, 0, 0, 1843, 1663927358291
-28, -26, -25, -22, -21, -21, -17, -16, -10, -2, 4, 9, 15, 17, 19, 20, 19, 20, -39, -35, -30, -24, -22, -22, -20, -19, -16, -10, -3, 3, 9, 15, 18, 22, 23, 23, -6208, -624, 1104, 0, 0, 0, 1843, 1663927358416
-35, -26, -20, -15, -14, -23, -26, -26, -15, -3, 6, 13, 20, 22, 23, 24, 22, 22, -25, -23, -20, -13, -12, -18, -24, -27, -26, -17, -8, -1, 6, 14, 19, 23, 24, 25, -18944, -2656, 5088, 0, 0, 0, 1843, 1663927358650
-16, -14, -19, -23, -24, -24, -22, -21, -18, -12, -8, -5, 2, 5, 9, 12, 15, 19, -27, -26, -26, -26, -26, -25, -21, -18, -12, -4, 2, 5, 9, 13, 15, 17, 18, 20, -9184, -3632, 5200, 0, 0, 0, 1843, 1663927358836
